time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-06T05:24:25.750Z,56.161,-149.2682,19.71,3.5,mb,,150,2.436,0.55,us,us1000dz6i,2018-05-06T07:59:47.040Z,"263km SE of Kodiak, Alaska",earthquake,8.8,7.9,0.284,3,reviewed,us,us
2018-05-06T05:24:17.520Z,19.3363342,-155.100174,7.65,2.81,ml,47,167,0.04748,0.21,hv,hv70122471,2018-05-06T05:29:54.930Z,"17km SE of Volcano, Hawaii",earthquake,0.63,0.49,2.66,32,automatic,hv,hv
2018-05-06T05:23:31.390Z,19.303833,-155.2388306,1.14,2.84,ml,10,265,0.06528,0.19,hv,hv70122466,2018-05-06T05:29:06.490Z,"14km S of Volcano, Hawaii",earthquake,2.04,1.43,3.89,6,automatic,hv,hv
2018-05-06T05:19:21.640Z,11.8294,-86.1979,146.16,4.8,mb,,135,0.827,0.85,us,us1000dz6f,2018-05-06T05:54:08.040Z,"2km S of Jinotepe, Nicaragua",earthquake,6.6,6.7,0.029,370,reviewed,us,us
2018-05-06T05:11:01.010Z,19.4153328,-154.9543304,-0.47,3.03,ml,35,208,0.05068,0.38,hv,hv70122451,2018-05-06T07:14:34.379Z,"6km SW of Leilani Estates, Hawaii",earthquake,0.91,0.27,2.92,36,automatic,hv,hv
2018-05-06T05:10:01.870Z,-34.7237,-107.6664,10,4.8,mb,,162,28.397,0.7,us,us1000dz6a,2018-05-06T06:45:49.040Z,"Southern East Pacific Rise",earthquake,7.7,1.9,0.063,78,reviewed,us,us
2018-05-06T04:58:21.760Z,13.2609,-87.8941,4.38,4.9,mwr,,128,0.995,1.07,us,us1000dz60,2018-05-06T15:16:09.141Z,"6km SSW of Conchagua, El Salvador",earthquake,3.1,4.6,0.05,39,reviewed,us,us
2018-05-06T04:41:02.440Z,19.4256667,-155.2396667,1.15,3.7,ml,42,51,0.01059,0.1,hv,hv70122366,2018-05-06T08:57:07.464Z,"0km SW of Volcano, Hawaii",earthquake,0.17,0.21,0.219,37,reviewed,hv,hv
2018-05-06T04:10:47.770Z,19.3811665,-154.9940033,6.46,2.66,ml,35,239,0.0531,0.33,hv,hv70122281,2018-05-06T04:16:34.570Z,"12km SW of Leilani Estates, Hawaii",earthquake,1.14,0.63,2.29,16,automatic,hv,hv
2018-05-06T03:46:32.820Z,19.4231667,-155.2328333,1.38,2.6,ml,19,82,0.009545,0.07,hv,hv70122196,2018-05-06T06:54:33.910Z,"0km SSE of Volcano, Hawaii",earthquake,0.25,0.2,0.121,15,reviewed,hv,hv
2018-05-06T03:45:40.980Z,19.1068325,-155.3159943,8.21,3.24,ml,14,253,0.1464,0.22,hv,hv70122191,2018-05-06T03:51:17.040Z,"20km ESE of Pahala, Hawaii",earthquake,1.08,0.83,0.33,8,automatic,hv,hv
2018-05-06T03:26:38.150Z,19.4243336,-154.889328,1.21,2.65,ml,29,239,0.0416,0.25,hv,hv70122126,2018-05-06T03:32:12.750Z,"5km SSE of Leilani Estates, Hawaii",earthquake,1.34,0.73,4.09,5,automatic,hv,hv
2018-05-06T03:17:21.740Z,39.5244,73.3227,24.05,4.6,mwr,,63,1.175,1.37,us,us1000dz4n,2018-05-06T04:11:48.040Z,"23km SSE of Sary-Tash, Kyrgyzstan",earthquake,4.3,4.6,0.061,26,reviewed,us,us
2018-05-06T03:03:16.650Z,16.775,-94.9477,85.69,4.5,mb,,158,2.74,1.23,us,us1000dz4c,2018-05-06T04:36:59.810Z,"15km SE of Matias Romero, Mexico",earthquake,5.9,11.7,0.078,49,reviewed,us,us
2018-05-06T02:44:19.900Z,-34.2825,-72.3662,19.44,5.1,mwr,,85,0.809,1.03,us,us1000dz41,2018-05-06T10:01:16.365Z,"99km WNW of Santa Cruz, Chile",earthquake,3.1,4.6,0.037,69,reviewed,us,us
2018-05-06T02:33:17.830Z,19.4255,-155.211,1.69,2.5,ml,23,92,0.02777,0.08,hv,hv70121971,2018-05-06T04:01:36.750Z,"2km ESE of Volcano, Hawaii",earthquake,0.29,0.46,0.18,16,reviewed,hv,hv
2018-05-06T02:32:20.810Z,19.2866669,-155.1921692,0.57,2.45,md,12,153,0.03115,0.14,hv,hv70121966,2018-05-06T02:35:30.250Z,"16km SSE of Volcano, Hawaii",earthquake,0.63,0.32,0.18,7,automatic,hv,hv
2018-05-06T02:30:06.850Z,19.4181667,-155.3093333,3.7,3.13,ml,42,68,0.01447,0.09,hv,hv70121961,2018-05-06T04:45:35.420Z,"7km W of Volcano, Hawaii",earthquake,0.23,0.35,0.132,15,reviewed,hv,hv
2018-05-06T02:29:15.130Z,19.4641666,-155.3706665,-3.24,2.76,ml,7,241,0.1462,0.2,hv,hv70121946,2018-05-06T02:34:49.270Z,"14km WNW of Volcano, Hawaii",earthquake,3.94,1.69,3.85,10,automatic,hv,hv
2018-05-06T02:29:10.730Z,19.4143333,-155.312,2.68,2.86,ml,39,77,0.01368,0.1,hv,hv70121951,2018-05-06T03:59:29.704Z,"8km WSW of Volcano, Hawaii",earthquake,0.24,0.28,0.226,28,reviewed,hv,hv
2018-05-06T02:25:39.680Z,19.4213333,-155.2138367,0.22,2.6,ml,40,54,0.02392,0.34,hv,hv70121936,2018-05-06T10:28:15.316Z,"2km ESE of Volcano, Hawaii",earthquake,0.37,0.49,1.9,25,automatic,hv,hv
2018-05-06T02:14:44.600Z,19.4225,-155.3101667,3.29,2.72,ml,24,83,0.018,0.08,hv,hv70121891,2018-05-06T03:58:33.573Z,"7km W of Volcano, Hawaii",earthquake,0.27,0.33,0.185,13,reviewed,hv,hv
2018-05-06T02:06:16.830Z,19.4256667,-155.2358333,0.97,3.49,ml,51,48,0.01077,0.11,hv,hv70121876,2018-05-06T04:50:30.107Z,"0km SSE of Volcano, Hawaii",earthquake,0.17,0.28,0.204,35,reviewed,hv,hv
2018-05-06T01:15:11.220Z,19.3713341,-155.0338287,7.03,3.19,ml,50,176,0.04974,0.31,hv,hv70121746,2018-05-06T02:19:38.210Z,"16km SW of Leilani Estates, Hawaii",earthquake,0.87,0.5,2.54,36,automatic,hv,hv
2018-05-06T00:54:34.800Z,18.069,-67.743,138,2.77,md,4,341,0.6365,0.07,pr,pr2018126000,2018-05-06T03:55:19.190Z,"58km W of Puerto Real, Puerto Rico",earthquake,3.61,0.76,0.2,4,reviewed,pr,pr
2018-05-06T00:52:09.490Z,36.1028333,-91.362,18.32,2.77,md,55,60,0.1716,0.17,nm,nm60198887,2018-05-06T13:31:57.742Z,"24km NE of Cave City, Arkansas",earthquake,0.29,0.34,0.076,30,reviewed,nm,nm
2018-05-06T00:51:57.910Z,0.3458,123.2823,255.03,4.5,mb,,62,1.469,0.91,us,us1000dz2x,2018-05-06T01:10:06.040Z,"8km ESE of Bilungala, Indonesia",earthquake,7.4,6.5,0.094,33,reviewed,us,us
2018-05-06T00:35:50.090Z,19.1661663,-155.2641602,-0.41,2.46,ml,32,221,0.1357,0.28,hv,hv70121661,2018-05-06T00:41:27.410Z,"23km E of Pahala, Hawaii",earthquake,1.83,0.65,0.14,7,automatic,hv,hv
2018-05-06T00:27:17.100Z,19.3173332,-155.2031708,-0.61,2.55,ml,17,96,0.04125,0.2,hv,hv70121636,2018-05-06T00:32:50.700Z,"13km SSE of Volcano, Hawaii",earthquake,0.41,0.3,0.44,5,automatic,hv,hv
2018-05-06T00:12:11.840Z,19.0475006,-155.0298309,7.33,3.2,ml,51,263,0.255,0.25,hv,hv70121586,2018-05-06T00:31:06.040Z,"47km SSE of Volcano, Hawaii",earthquake,0.69,0.72,2.14,37,automatic,hv,hv
2018-05-06T00:03:48.360Z,19.4314,-154.8766,5,3.3,ml,,296,0.217,0.63,us,us1000dz2a,2018-05-06T02:34:39.040Z,"5km SE of Leilani Estates, Hawaii",earthquake,3,2,0.052,48,reviewed,us,us
2018-05-06T00:03:17.940Z,19.3120003,-155.2519989,5.81,2.57,ml,28,93,0.04006,0.17,hv,hv70121566,2018-05-06T00:08:56.570Z,"13km S of Volcano, Hawaii",earthquake,0.49,0.78,1.78,27,automatic,hv,hv
2018-05-06T00:01:14.410Z,37.3838,71.3298,97.28,4.8,mww,,65,0.654,1.22,us,us1000dz25,2018-05-06T00:18:41.485Z,"22km WSW of Khorugh, Tajikistan",earthquake,6.2,5.1,0.073,18,reviewed,us,us
2018-05-05T23:47:09.000Z,19.4213333,-155.315506,3.25,2.47,ml,33,46,0.02069,0.27,hv,hv70121516,2018-05-05T23:52:46.930Z,"8km W of Volcano, Hawaii",earthquake,0.48,0.78,0.24,6,automatic,hv,hv
2018-05-05T23:28:56.640Z,19.2310009,-155.3625031,-0.57,2.74,ml,23,164,0.03369,0.32,hv,hv70121461,2018-05-05T23:34:34.000Z,"12km ENE of Pahala, Hawaii",earthquake,1.2,0.27,0.4,6,automatic,hv,hv
2018-05-05T23:23:23.530Z,19.4378333,-154.9298333,3.99,2.52,ml,6,190,0.02079,0.07,hv,hv70121446,2018-05-05T23:55:53.910Z,"3km SSW of Leilani Estates, Hawaii",earthquake,0.76,0.89,0.127,21,reviewed,hv,hv
2018-05-05T23:01:55.850Z,19.3178329,-155.1796722,9.12,2.94,ml,9,107,0.05595,0.12,hv,hv70121391,2018-05-05T23:07:32.410Z,"13km SSE of Volcano, Hawaii",earthquake,0.81,1.09,0.47,3,automatic,hv,hv
2018-05-05T22:59:58.150Z,19.316,-154.9468333,4.32,2.66,ml,6,277,0.129,0.08,hv,hv70121386,2018-05-05T23:50:48.350Z,"5km WSW of Leilani Estates, Hawaii",earthquake,1.52,11.86,0.181,20,reviewed,hv,hv
2018-05-05T22:15:48.030Z,40.0745,140.6192,8.02,4.5,mb,,124,0.791,0.77,us,us1000dz0r,2018-05-06T14:48:34.860Z,"18km SW of Kazuno, Japan",earthquake,5.2,3.3,0.076,51,reviewed,us,us
2018-05-05T22:14:50.340Z,19.4038334,-155.2771606,0.37,2.47,ml,22,45,0.008896,0.16,hv,hv70121271,2018-05-05T22:20:28.540Z,"5km SW of Volcano, Hawaii",earthquake,0.2,0.26,0.37,17,automatic,hv,hv
2018-05-05T21:28:00.950Z,6.9179,123.868,593.78,4.3,mb,,52,1.705,0.67,us,us1000dz0a,2018-05-05T21:46:14.040Z,"21km NW of Gadung, Philippines",earthquake,11.1,6.4,0.054,97,reviewed,us,us
2018-05-05T21:04:47.400Z,19.3068333,-155.2525024,7.78,2.51,ml,40,99,0.03662,0.21,hv,hv70121056,2018-05-05T21:10:23.400Z,"13km S of Volcano, Hawaii",earthquake,0.45,0.56,3.51,7,automatic,hv,hv
2018-05-05T21:02:55.830Z,1.9089,98.964,133.09,4.5,mb,,78,1.512,0.83,us,us1000dyzy,2018-05-05T21:21:33.040Z,"27km NE of Sibolga, Indonesia",earthquake,6.6,6.5,0.075,52,reviewed,us,us
2018-05-05T20:48:53.440Z,19.0764999,-155.2019958,9.66,2.79,ml,40,253,0.2048,0.35,hv,hv70121016,2018-05-05T20:54:30.790Z,"32km ESE of Pahala, Hawaii",earthquake,0.89,0.81,2.42,28,automatic,hv,hv
2018-05-05T20:36:47.080Z,-21.3818,168.2702,19.52,5.1,mb,,88,0.244,0.59,us,us1000dyzj,2018-05-05T21:00:36.040Z,"44km ENE of Tadine, New Caledonia",earthquake,5,3.1,0.052,120,reviewed,us,us
2018-05-05T20:24:45.420Z,-6.1333,142.295,10,5,mb,,78,6.487,0.76,us,us1000dyzb,2018-05-05T21:32:06.040Z,"111km E of Kiunga, Papua New Guinea",earthquake,8.4,1.9,0.064,78,reviewed,us,us
2018-05-05T20:03:44.830Z,19.3460007,-155.0788269,2.97,2.7,ml,50,181,0.05501,0.34,hv,hv70120916,2018-05-05T21:57:47.040Z,"18km S of Fern Acres, Hawaii",earthquake,0.58,1.3,2.23,31,automatic,hv,hv
2018-05-05T19:56:32.670Z,35.9746,88.8752,10,4,mb,,78,6.534,0.88,us,us1000dyyt,2018-05-05T22:17:35.040Z,"Western Xizang",earthquake,10.1,1.9,0.116,20,reviewed,us,us
2018-05-05T19:30:00.670Z,19.2101669,-155.3191681,0.72,2.69,ml,22,198,0.07885,0.26,hv,hv70120821,2018-05-05T19:35:35.890Z,"16km E of Pahala, Hawaii",earthquake,1.21,0.79,2.86,10,automatic,hv,hv
2018-05-05T19:29:17.110Z,-59.438,-27.0994,103.92,4.6,mb,,82,15.674,0.45,us,us1000dyyh,2018-05-05T22:38:13.040Z,"56km SW of Bristol Island, South Sandwich Islands",earthquake,13.6,8.9,0.089,38,reviewed,us,us
2018-05-05T18:54:11.755Z,62.7983,-135.4851,6.5,3.1,ml,,,,0.7,ak,ak19325006,2018-05-05T19:44:08.001Z,"90km SSE of Mayo, Canada",earthquake,,0.3,,,reviewed,ak,ak
2018-05-05T18:50:44.850Z,19.3351669,-155.1268311,2.05,2.98,ml,10,157,0.04909,0.09,hv,hv70120721,2018-05-06T02:53:15.801Z,"15km SE of Volcano, Hawaii",earthquake,0.51,0.89,0.46,3,automatic,hv,hv
2018-05-05T18:32:25.640Z,36.2124,70.5156,165.83,4.2,mb,,100,0.912,1.43,us,us1000dyx6,2018-05-05T20:54:32.040Z,"30km NW of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake,7.7,6.1,0.166,10,reviewed,us,us
2018-05-05T18:30:22.080Z,19.4243333,-154.8946667,2.94,2.46,ml,6,233,0.03846,0.12,hv,hv70120671,2018-05-05T21:54:45.080Z,"5km SSE of Leilani Estates, Hawaii",earthquake,1.48,1.22,0.364,2,reviewed,hv,hv
2018-05-05T18:25:43.480Z,19.3976667,-155.246,0.4,2.92,ml,28,66,0.01309,0.13,hv,hv70120661,2018-05-06T15:03:07.964Z,"3km SSW of Volcano, Hawaii",earthquake,0.17,0.22,0.215,28,reviewed,hv,hv
2018-05-05T18:19:02.630Z,19.3740005,-155.2299957,1.34,2.59,ml,18,94,0.01003,0.25,hv,hv70120651,2018-05-05T18:24:35.720Z,"6km S of Volcano, Hawaii",earthquake,0.52,0.56,0.41,14,automatic,hv,hv
2018-05-05T18:18:39.460Z,19.4188328,-155.3209991,4.54,2.5,ml,28,48,0.02324,0.19,hv,hv70120646,2018-05-05T18:24:13.720Z,"8km W of Volcano, Hawaii",earthquake,0.4,0.79,0.56,20,automatic,hv,hv
2018-05-05T18:16:22.470Z,19.3743324,-155.0293274,2.23,2.52,ml,26,207,0.05145,0.35,hv,hv70120636,2018-05-05T18:22:10.240Z,"15km SW of Leilani Estates, Hawaii",earthquake,1.18,1.42,0.25,9,automatic,hv,hv
2018-05-05T18:13:59.720Z,26.9594,55.7962,29.94,4.3,mb,,122,2.039,0.61,us,us1000dyx2,2018-05-05T20:09:30.040Z,"47km W of Qeshm, Iran",earthquake,7.4,3.9,0.07,58,reviewed,us,us
2018-05-05T18:01:37.750Z,19.3080006,-155.2108307,6.91,2.78,ml,21,179,0.02965,0.21,hv,hv70120571,2018-05-05T18:07:13.120Z,"13km SSE of Volcano, Hawaii",earthquake,1.09,0.67,2.58,36,automatic,hv,hv
2018-05-05T17:50:39.940Z,8.5088,94.061,78.74,4.5,mb,,65,3.385,0.83,us,us1000dywp,2018-05-05T19:12:57.040Z,"101km NE of Mohean, India",earthquake,6.2,8,0.1,29,reviewed,us,us
2018-05-05T17:44:12.910Z,19.4373333,-154.9173333,3.66,2.52,ml,9,202,0.01833,0.06,hv,hv70120511,2018-05-05T18:23:01.790Z,"3km S of Leilani Estates, Hawaii",earthquake,1.3,0.79,0.121,2,reviewed,hv,hv
2018-05-05T17:35:52.880Z,19.3688335,-155.0288391,-0.99,2.88,ml,21,250,0.09257,0.23,hv,hv70120476,2018-05-05T17:48:12.723Z,"16km SW of Leilani Estates, Hawaii",earthquake,1.94,0.53,0.13,3,automatic,hv,hv
2018-05-05T17:30:01.210Z,19.3358326,-155.0970001,5.56,2.76,ml,50,171,0.04815,0.27,hv,hv70120466,2018-05-05T18:56:07.040Z,"18km S of Fern Acres, Hawaii",earthquake,0.58,0.67,2.48,35,automatic,hv,hv
2018-05-05T17:11:20.980Z,19.4273333,-155.2261667,1.48,2.58,ml,22,153,0.01672,0.08,hv,hv70120411,2018-05-06T15:14:27.878Z,"1km ESE of Volcano, Hawaii",earthquake,0.24,0.37,0.215,20,reviewed,hv,hv
2018-05-05T17:06:10.290Z,19.0716667,-155.173172,9.27,3.15,ml,45,247,0.2141,0.23,hv,hv70120396,2018-05-05T18:07:21.040Z,"35km ESE of Pahala, Hawaii",earthquake,0.92,0.59,2.73,33,automatic,hv,hv
2018-05-05T17:04:43.470Z,35.6751,-97.4193,9.31,2.7,mb_lg,,38,0.045,0.39,us,us1000dyvx,2018-05-06T04:27:19.301Z,"5km ENE of Edmond, Oklahoma",earthquake,0.8,4.8,0.056,84,reviewed,us,us
